x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.693361878,0.466456562,-3.32E-07,0.657110214,0.437833428,-0.010104198,0.632509708,0.400165558,-0.01409371,0.628453016,0.360733449,-0.018478615,0.634463429,0.331419051,-0.019243348,0.658800364,0.361989737,0.000630777,0.650821865,0.332856536,-0.011833842,0.65195173,0.369998097,-0.015018927,0.653858364,0.383671463,-0.01513304,0.680724382,0.359979779,1.24E-05,0.672455907,0.32673645,-0.015070444,0.672318459,0.377623081,-0.015488134,0.676024377,0.390781939,-0.011616062,0.704335988,0.35945794,-0.003502424,0.696311295,0.327395439,-0.018542411,0.691913486,0.375727385,-0.012878889,0.694745541,0.391322076,-0.004997089,0.727920294,0.365680426,-0.008064277,0.723076284,0.331601888,-0.017037796,0.716194451,0.362959534,-0.011776836,0.716737926,0.380162656,-0.00498671,a
0.691976905,0.466839075,-3.13E-07,0.654862046,0.438580006,-0.012081327,0.629934788,0.400378704,-0.017476836,0.626973331,0.359935611,-0.022858635,0.634210348,0.330202222,-0.024598928,0.656415939,0.361862898,-0.002533616,0.65029937,0.331198901,-0.015761385,0.651322424,0.369439036,-0.019256921,0.653436124,0.384368867,-0.019475047,0.679651141,0.360032797,-0.002314466,0.672345877,0.327207506,-0.018065332,0.672246397,0.378354728,-0.019241797,0.675873041,0.392099649,-0.016097974,0.703995466,0.359707147,-0.004992193,0.697413445,0.328331381,-0.020349557,0.69274205,0.377051204,-0.015325674,0.694687605,0.39274013,-0.008081547,0.72754395,0.364673615,-0.00884647,0.723542631,0.332251787,-0.018145114,0.716112673,0.364370257,-0.013475551,0.715714276,0.381765753,-0.007265949,a
0.691976905,0.466839075,-3.13E-07,0.654862046,0.438580006,-0.012081327,0.629934788,0.400378704,-0.017476836,0.626973331,0.359935611,-0.022858635,0.634210348,0.330202222,-0.024598928,0.656415939,0.361862898,-0.002533616,0.65029937,0.331198901,-0.015761385,0.651322424,0.369439036,-0.019256921,0.653436124,0.384368867,-0.019475047,0.679651141,0.360032797,-0.002314466,0.672345877,0.327207506,-0.018065332,0.672246397,0.378354728,-0.019241797,0.675873041,0.392099649,-0.016097974,0.703995466,0.359707147,-0.004992193,0.697413445,0.328331381,-0.020349557,0.69274205,0.377051204,-0.015325674,0.694687605,0.39274013,-0.008081547,0.72754395,0.364673615,-0.00884647,0.723542631,0.332251787,-0.018145114,0.716112673,0.364370257,-0.013475551,0.715714276,0.381765753,-0.007265949,a
0.691974401,0.465963662,-3.12E-07,0.656407177,0.438909054,-0.012245866,0.631036699,0.401384056,-0.017841693,0.626635969,0.361237705,-0.023313833,0.633740187,0.332138389,-0.025038814,0.657557368,0.363235474,-0.004188822,0.650296926,0.333292484,-0.017890293,0.651681542,0.371060729,-0.021473089,0.654313564,0.38445133,-0.021772925,0.679991961,0.361027747,-0.003856428,0.672300339,0.328664124,-0.019325899,0.67210722,0.37918523,-0.019613354,0.676141083,0.391152412,-0.01611793,0.704235077,0.360505909,-0.00642369,0.697913826,0.328721046,-0.021799384,0.692863107,0.376931965,-0.015957903,0.694945693,0.392021149,-0.008212216,0.72777766,0.365595639,-0.010196977,0.724919856,0.332852602,-0.019441899,0.716907859,0.364399761,-0.014184953,0.715842843,0.3816939,-0.007540646,a
0.691974401,0.465963662,-3.12E-07,0.656407177,0.438909054,-0.012245866,0.631036699,0.401384056,-0.017841693,0.626635969,0.361237705,-0.023313833,0.633740187,0.332138389,-0.025038814,0.657557368,0.363235474,-0.004188822,0.650296926,0.333292484,-0.017890293,0.651681542,0.371060729,-0.021473089,0.654313564,0.38445133,-0.021772925,0.679991961,0.361027747,-0.003856428,0.672300339,0.328664124,-0.019325899,0.67210722,0.37918523,-0.019613354,0.676141083,0.391152412,-0.01611793,0.704235077,0.360505909,-0.00642369,0.697913826,0.328721046,-0.021799384,0.692863107,0.376931965,-0.015957903,0.694945693,0.392021149,-0.008212216,0.72777766,0.365595639,-0.010196977,0.724919856,0.332852602,-0.019441899,0.716907859,0.364399761,-0.014184953,0.715842843,0.3816939,-0.007540646,a
0.692234516,0.466804415,-3.32E-07,0.65705502,0.44118163,-0.012115178,0.632362545,0.40275982,-0.016723553,0.626897573,0.363267809,-0.020983517,0.633487165,0.334016502,-0.021207847,0.657922447,0.364438236,-0.003721377,0.650850952,0.333917826,-0.018137354,0.652396321,0.37193045,-0.021951878,0.654570103,0.386678666,-0.022137417,0.680812001,0.362485796,-0.003639658,0.673374653,0.328611702,-0.020168459,0.673404276,0.380329847,-0.020582527,0.676768064,0.394113004,-0.016712293,0.704512358,0.361467123,-0.00659838,0.698078394,0.32947427,-0.023323005,0.692965627,0.37861219,-0.017418016,0.694871843,0.394166917,-0.009198585,0.727873683,0.366791785,-0.010724347,0.724347472,0.334797353,-0.021322746,0.716933012,0.367652535,-0.016428504,0.716122448,0.384814799,-0.009771571,a
0.692234516,0.466804415,-3.32E-07,0.65705502,0.44118163,-0.012115178,0.632362545,0.40275982,-0.016723553,0.626897573,0.363267809,-0.020983517,0.633487165,0.334016502,-0.021207847,0.657922447,0.364438236,-0.003721377,0.650850952,0.333917826,-0.018137354,0.652396321,0.37193045,-0.021951878,0.654570103,0.386678666,-0.022137417,0.680812001,0.362485796,-0.003639658,0.673374653,0.328611702,-0.020168459,0.673404276,0.380329847,-0.020582527,0.676768064,0.394113004,-0.016712293,0.704512358,0.361467123,-0.00659838,0.698078394,0.32947427,-0.023323005,0.692965627,0.37861219,-0.017418016,0.694871843,0.394166917,-0.009198585,0.727873683,0.366791785,-0.010724347,0.724347472,0.334797353,-0.021322746,0.716933012,0.367652535,-0.016428504,0.716122448,0.384814799,-0.009771571,a
0.691926301,0.466150254,-3.10E-07,0.657842636,0.439555615,-0.012714298,0.632388771,0.403360397,-0.019871693,0.627657413,0.365151286,-0.026911939,0.634314179,0.335345805,-0.030241726,0.661934316,0.363264471,-0.007095882,0.650951684,0.334099323,-0.021819009,0.651573479,0.372151434,-0.02577081,0.655257702,0.387255251,-0.026082262,0.682690263,0.361952245,-0.007013806,0.67293334,0.328987807,-0.023265317,0.671686053,0.380105734,-0.023068778,0.676552594,0.394123375,-0.019079126,0.705901444,0.362068862,-0.009747671,0.696265578,0.32987386,-0.025171043,0.69068104,0.378058225,-0.018414015,0.694166064,0.395268261,-0.010117501,0.729081392,0.368524104,-0.013846589,0.722958386,0.334706485,-0.023187576,0.714628577,0.365420848,-0.017607564,0.71495676,0.383149117,-0.010677829,a
0.691926301,0.466150254,-3.10E-07,0.657842636,0.439555615,-0.012714298,0.632388771,0.403360397,-0.019871693,0.627657413,0.365151286,-0.026911939,0.634314179,0.335345805,-0.030241726,0.661934316,0.363264471,-0.007095882,0.650951684,0.334099323,-0.021819009,0.651573479,0.372151434,-0.02577081,0.655257702,0.387255251,-0.026082262,0.682690263,0.361952245,-0.007013806,0.67293334,0.328987807,-0.023265317,0.671686053,0.380105734,-0.023068778,0.676552594,0.394123375,-0.019079126,0.705901444,0.362068862,-0.009747671,0.696265578,0.32987386,-0.025171043,0.69068104,0.378058225,-0.018414015,0.694166064,0.395268261,-0.010117501,0.729081392,0.368524104,-0.013846589,0.722958386,0.334706485,-0.023187576,0.714628577,0.365420848,-0.017607564,0.71495676,0.383149117,-0.010677829,a
0.692533255,0.462703168,-3.14E-07,0.658613265,0.436312944,-0.012871792,0.634368896,0.401498914,-0.019553887,0.630000412,0.364194155,-0.025909448,0.635971427,0.334228903,-0.028536052,0.661389649,0.364247888,-0.007403208,0.652080297,0.335968941,-0.02202143,0.651857197,0.372561127,-0.026147753,0.654424787,0.384126246,-0.027025765,0.682806432,0.361931801,-0.007154954,0.673805177,0.330254793,-0.023520777,0.671924412,0.381389648,-0.023685122,0.676253498,0.391843408,-0.020218153,0.706160724,0.361406446,-0.009637542,0.697651505,0.329860389,-0.025430411,0.692008615,0.377914488,-0.018579181,0.695735753,0.392105103,-0.010447773,0.729187429,0.367387235,-0.013432791,0.723971307,0.335069001,-0.023085788,0.715596199,0.366280496,-0.017380172,0.716122031,0.382650971,-0.010525255,a
